fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_0,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_0,[],[],[807],[ 0.38126644]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_6000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_9000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_12000,[64],[ 0.7367844],[426],[ 0.77583903]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_12000,[1236],[ 0.42655057],[1708],[ 0.82076186]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_15000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_15000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_18000,[55],[ 0.71209],[401],[ 0.64488494]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_21000,[1145],[ 0.9623001],[1492],[ 0.88208276]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_24000,[ 419 2449],[ 0.7294153  0.7453373],[2703],[ 0.46938288]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_27000,[],[],[1974],[ 0.62603325]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_30000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_39000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_42000,[760],[ 0.9279413],[1153],[ 0.5459186]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_42000,[2935],[ 0.7886749],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_45000,[2736],[ 0.4391927],[  58 2116 2751],[ 0.6006811   0.53166676  0.44146982]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_60000,[389],[ 0.83760643],[665],[ 0.70893526]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_57000,[2264 2896],[ 0.9519369   0.39436942],[2426],[ 0.8465295]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_63000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_66000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_69000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_72000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_69000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_75000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_72000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_78000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_75000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_81000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_78000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_81000,[2820],[ 0.647128],[2200],[ 0.47011733]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_87000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_84000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_90000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_87000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_93000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_90000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_96000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_93000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_99000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_96000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_102000,[],[],[159],[ 0.5137477]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_99000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_105000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_102000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_108000,[],[],[2497],[ 0.617046]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_105000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_111000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_108000,[2940],[ 0.47137183],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_114000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_111000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_114000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_120000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_120000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_123000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_126000,[2783],[ 0.41663045],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_123000,[99],[ 0.3731265],[441],[ 0.7896923]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_129000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_126000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_129000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_132000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_132000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_135000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_135000,[781],[ 0.53064626],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_138000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_138000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_141000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_141000,[2933],[ 0.61280054],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_144000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_144000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_147000,[747],[ 0.8010277],[ 328 1122],[ 0.817571   0.9232332]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_147000,[1159],[ 0.93829155],[1541],[ 0.6187053]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_150000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_150000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_153000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_153000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_156000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_156000,[],[],[2775],[ 0.390525]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_159000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_159000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_162000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_162000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_165000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_165000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_168000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_168000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_171000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_171000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_174000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_174000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_177000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_177000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_180000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_180000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_183000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_183000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_186000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_186000,[1332],[ 0.96567756],[1673],[ 0.75574225]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_189000,[ 624 2630],[ 0.75550354  0.36794603],[2639],[ 0.3965795]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_189000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_192000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_195000,[],[],[],[]
CM_URMC_00_HHE_20191229000000_20191229010000.mseed_198000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_192000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_195000,[],[],[],[]
CM_TAPM_00_HHE_20191229000000_20191229010000.mseed_198000,[],[],[],[]
