fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2020010109595999.mseed_0,[],[],[654],[ 0.42118356]
CM_URMC_00_HHE_100_2020010109595999.mseed_3000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_6000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_3000,[321],[ 0.43987226],[750],[ 0.79854393]
CM_TAPM_00_HHE_100_2020010110000000.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_9000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_12000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_9000,[841],[ 0.60362357],[130],[ 0.87065965]
CM_URMC_00_HHE_100_2020010109595999.mseed_15000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_12000,[1559],[ 0.7444014],[ 129  549 1905],[ 0.41862592  0.77799773  0.47751126]
CM_URMC_00_HHE_100_2020010109595999.mseed_18000,[2027],[ 0.96520543],[2391],[ 0.52538115]
CM_TAPM_00_HHE_100_2020010110000000.mseed_15000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_21000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_18000,[1484],[ 0.9093984],[ 921 1923],[ 0.5255411   0.35285562]
CM_URMC_00_HHE_100_2020010109595999.mseed_24000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_27000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_24000,[2751],[ 0.77490044],[476],[ 0.7862127]
CM_URMC_00_HHE_100_2020010109595999.mseed_30000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_33000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_30000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_36000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_39000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_36000,[ 145 2823],[ 0.47987613  0.7828276 ],[507],[ 0.49686968]
CM_URMC_00_HHE_100_2020010109595999.mseed_42000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_39000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_45000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_48000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_45000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_51000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_54000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_57000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_60000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_63000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_66000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_69000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_66000,[ 515 1433 2823],[ 0.919252    0.84193707  0.31256607],[ 748 1581 2247],[ 0.57022643  0.78253424  0.8089962 ]
CM_URMC_00_HHE_100_2020010109595999.mseed_72000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_69000,[],[],[1300],[ 0.60581815]
CM_URMC_00_HHE_100_2020010109595999.mseed_75000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_72000,[2149],[ 0.49986675],[2692],[ 0.62740225]
CM_TAPM_00_HHE_100_2020010110000000.mseed_75000,[],[],[  87 1745],[ 0.6672657   0.58710057]
CM_TAPM_00_HHE_100_2020010110000000.mseed_78000,[1477 2503],[ 0.6673647  0.7923948],[1586],[ 0.6594037]
CM_TAPM_00_HHE_100_2020010110000000.mseed_81000,[],[],[2567],[ 0.5384954]
CM_TAPM_00_HHE_100_2020010110000000.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_87000,[2907],[ 0.41243914],[2273],[ 0.30878896]
CM_TAPM_00_HHE_100_2020010110000000.mseed_90000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_78000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_93000,[],[],[1813],[ 0.35894185]
CM_URMC_00_HHE_100_2020010109595999.mseed_81000,[1913 2246],[ 0.45202053  0.64010483],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_96000,[1839],[ 0.6539327],[ 632 2004],[ 0.40106237  0.39655122]
CM_TAPM_00_HHE_100_2020010110000000.mseed_99000,[2407],[ 0.60203177],[2879],[ 0.6580489]
CM_URMC_00_HHE_100_2020010109595999.mseed_84000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_102000,[1032],[ 0.57643056],[407],[ 0.71717155]
CM_URMC_00_HHE_100_2020010109595999.mseed_87000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_105000,[1861],[ 0.6965344],[ 733 2066],[ 0.56142735  0.83564746]
CM_URMC_00_HHE_100_2020010109595999.mseed_90000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_93000,[606],[ 0.94392693],[966],[ 0.8789261]
CM_TAPM_00_HHE_100_2020010110000000.mseed_108000,[2249 2840],[ 0.54888123  0.74540323],[ 616 2524],[ 0.42126182  0.7755721 ]
CM_TAPM_00_HHE_100_2020010110000000.mseed_111000,[2744],[ 0.40641257],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_96000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_99000,[1372],[ 0.34262782],[1585 2589],[ 0.88524425  0.8381462 ]
CM_TAPM_00_HHE_100_2020010110000000.mseed_114000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_102000,[],[],[],[]
CM_URMC_00_HHE_100_2020010109595999.mseed_105000,[],[],[],[]
CM_TAPM_00_HHE_100_2020010110000000.mseed_117000,[],[],[],[]
