fname,itp,tp_prob,its,ts_prob
CM_URMC_00_HHE_100_2019123123595999.mseed_0,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_3000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_6000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_9000,[2724],[ 0.37040997],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_12000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_15000,[1895],[ 0.93606144],[2684],[ 0.78893036]
CM_URMC_00_HHE_100_2019123123595999.mseed_18000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_21000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_24000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_27000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_30000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_33000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_36000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_39000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_42000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_45000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_48000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_51000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_54000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_57000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_60000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_63000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_66000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_69000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_72000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_75000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_78000,[1284],[ 0.95858926],[1674],[ 0.7671765]
CM_URMC_00_HHE_100_2019123123595999.mseed_81000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_84000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_87000,[172],[ 0.9634758],[524],[ 0.8983044]
CM_URMC_00_HHE_100_2019123123595999.mseed_90000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_93000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_96000,[1285],[ 0.34424838],[1611],[ 0.49887553]
CM_URMC_00_HHE_100_2019123123595999.mseed_99000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_102000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_105000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_108000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_111000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_114000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_117000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_120000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_123000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_126000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_129000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_132000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_135000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_138000,[1413 1564],[ 0.47682828  0.3462781 ],[1831],[ 0.5938724]
CM_URMC_00_HHE_100_2019123123595999.mseed_141000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_144000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_147000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_150000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_153000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_156000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_159000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_162000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_165000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_168000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_171000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_174000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_177000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_180000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_183000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_186000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_189000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_192000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_195000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_198000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_201000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_204000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_207000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_210000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_213000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_216000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_219000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_222000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_225000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_228000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_231000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_234000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_237000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_240000,[2279],[ 0.98053277],[2705],[ 0.69423187]
CM_URMC_00_HHE_100_2019123123595999.mseed_243000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_246000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_249000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_252000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_255000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_258000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_261000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_264000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_267000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_270000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_273000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_276000,[1039 2427],[ 0.3103639  0.9557722],[1350 2778],[ 0.8505666  0.8755133]
CM_URMC_00_HHE_100_2019123123595999.mseed_279000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_282000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_285000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_288000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_291000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_294000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_297000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_300000,[1926],[ 0.9678227],[2305],[ 0.81265914]
CM_URMC_00_HHE_100_2019123123595999.mseed_303000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_306000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_309000,[2731],[ 0.33614764],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_312000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_315000,[1557],[ 0.96965235],[1905],[ 0.8562405]
CM_URMC_00_HHE_100_2019123123595999.mseed_318000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_321000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_324000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_327000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_330000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_333000,[],[],[343],[ 0.45422027]
CM_URMC_00_HHE_100_2019123123595999.mseed_336000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_339000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_342000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_345000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_348000,[673],[ 0.7648405],[1237],[ 0.62599653]
CM_URMC_00_HHE_100_2019123123595999.mseed_351000,[2606],[ 0.98003757],[2989],[ 0.6839829]
CM_URMC_00_HHE_100_2019123123595999.mseed_354000,[],[],[39],[ 0.5924884]
CM_URMC_00_HHE_100_2019123123595999.mseed_357000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_360000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_363000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_366000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_369000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_372000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_375000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_378000,[395],[ 0.9425739],[1185],[ 0.7906918]
CM_URMC_00_HHE_100_2019123123595999.mseed_381000,[],[],[],[]
CM_URMC_00_HHE_100_2019123123595999.mseed_384000,[],[],[],[]
