fname,E,N,Z
CM_URMC_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
CM_CHI_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
CM_TAPM_00_HHE_100_2019122505000000.mseed,HHE,HHN,HHZ
CM_BELO_00_HHE_100_2019122505000000.mseed,HHE,HHN,HHZ
CM_CVER_00_HHE_100_2019122505000000.mseed,HHE,HHN,HHZ
CM_PRA_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
CM_PIRM_00_HHE_100_2019122505000000.mseed,HHE,HHN,HHZ
CM_ORTC_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
CM_GARC_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
CM_MACC_00_HHE_100_2019122504595999.mseed,HHE,HHN,HHZ
